,GameId,Date,Season,Team,Opponent,Name,Minutes,Points,Assists,DefRebounds,OffRebounds,Rebounds,Steals,Blocks,Turnovers,FG2M,FG2A,FG3M,FG3A
0,0022300241,2023-11-25,2023,ATL,WAS,Patty Mills,4.92,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,0022301218,2023-12-08,2023,ATL,PHI,Patty Mills,16.63,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
2,0022300330,2023-12-15,2023,ATL,TOR,Patty Mills,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0022300336,2023-12-16,2023,ATL,CLE,Patty Mills,12.57,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
4,0022300384,2023-12-22,2023,ATL,MIA,Patty Mills,12.22,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
5,0022300431,2023-12-29,2023,ATL,SAC,Patty Mills,11.18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,0022300445,2023-12-31,2023,ATL,WAS,Patty Mills,8.23,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0022300521,2024-01-10,2023,ATL,PHI,Patty Mills,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0022300533,2024-01-12,2023,ATL,IND,Patty Mills,14.53,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
0,0022300175,2023-11-11,2023,ATL,MIA,Wesley Matthews,7.48,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
1,0022300193,2023-11-15,2023,ATL,NYK,Wesley Matthews,9.9,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,0022300029,2023-11-17,2023,ATL,PHI,Wesley Matthews,10.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,0022300039,2023-11-21,2023,ATL,IND,Wesley Matthews,8.53,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
4,0022300241,2023-11-25,2023,ATL,WAS,Wesley Matthews,7.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0022300246,2023-11-26,2023,ATL,BOS,Wesley Matthews,7.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
6,0022300055,2023-11-28,2023,ATL,CLE,Wesley Matthews,16.47,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7,0022300272,2023-11-30,2023,ATL,SAS,Wesley Matthews,14.68,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
8,0022300286,2023-12-02,2023,ATL,MIL,Wesley Matthews,12.15,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
9,0022301209,2023-12-06,2023,ATL,BKN,Wesley Matthews,11.3,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0022301218,2023-12-08,2023,ATL,PHI,Wesley Matthews,9.68,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
11,0022300296,2023-12-11,2023,ATL,DEN,Wesley Matthews,18.07,2.0,1.0,4.0,1.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0
12,0022300313,2023-12-13,2023,ATL,TOR,Wesley Matthews,13.67,5.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0
13,0022300336,2023-12-16,2023,ATL,CLE,Wesley Matthews,20.45,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
14,0022300352,2023-12-18,2023,ATL,DET,Wesley Matthews,15.4,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
15,0022300371,2023-12-20,2023,ATL,HOU,Wesley Matthews,7.97,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,0022300384,2023-12-22,2023,ATL,MIA,Wesley Matthews,6.97,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0022300408,2023-12-26,2023,ATL,CHI,Wesley Matthews,6.07,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,0022300499,2024-01-07,2023,ATL,ORL,Wesley Matthews,8.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0022300063,2023-10-25,2023,ATL,CHA,Clint Capela,28.63,15.0,0.0,7.0,6.0,13.0,1.0,0.0,2.0,6.0,10.0,0.0,0.0
1,0022300079,2023-10-27,2023,ATL,NYK,Clint Capela,28.12,13.0,2.0,7.0,6.0,13.0,0.0,1.0,1.0,6.0,12.0,0.0,0.0
2,0022300097,2023-10-29,2023,ATL,MIL,Clint Capela,23.03,12.0,1.0,10.0,2.0,12.0,1.0,0.0,0.0,5.0,10.0,0.0,0.0
3,0022300104,2023-10-30,2023,ATL,MIN,Clint Capela,22.57,2.0,1.0,4.0,1.0,5.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0
4,0022300117,2023-11-01,2023,ATL,WAS,Clint Capela,20.6,10.0,0.0,7.0,4.0,11.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0
