,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,1,Precious Achiuwa,C-PF,24,TOT,46,938,14.3,.535,.228,.188,12.3,19.9,16.1,9.0,1.5,3.2,12.5,16.8,0.6,1.2,1.8,.091,-1.8,0.2,-1.6,0.1
1,1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.4,22.2,17.2,14.3,1.8,2.4,13.3,21.4,0.0,0.5,0.5,.054,-1.5,-0.1,-1.6,0.0
2,1,Precious Achiuwa,PF,24,NYK,21,501,13.7,.566,.164,.109,12.2,17.9,15.1,4.3,1.3,3.9,11.2,12.9,0.5,0.7,1.3,.123,-2.1,0.5,-1.6,0.0
3,2,Bam Adebayo,C,26,MIA,43,1484,19.5,.566,.017,.428,7.1,27.9,17.3,19.4,1.5,2.8,11.9,26.0,1.4,2.5,3.9,.126,0.4,1.4,1.8,1.4
4,3,Ochai Agbaji,SG,23,TOT,52,1022,7.8,.526,.570,.089,3.8,9.8,6.9,5.9,1.3,2.5,11.5,12.3,0.0,0.6,0.5,.026,-2.9,-0.4,-3.2,-0.3
5,3,Ochai Agbaji,SG,23,UTA,51,1003,8.0,.531,.570,.080,3.9,9.8,6.9,6.0,1.3,2.5,11.7,12.1,0.1,0.6,0.6,.030,-2.7,-0.3,-3.0,-0.2
6,3,Ochai Agbaji,SG,23,TOR,1,19,-1.4,.388,.556,.333,0.0,11.9,5.8,0.0,0.0,0.0,8.8,25.6,-0.1,0.0,-0.1,-0.187,-12.2,-5.0,-17.2,-0.1
7,4,Santi Aldama,PF,23,MEM,41,1008,13.0,.535,.522,.151,5.0,21.0,12.7,12.5,1.3,2.5,10.1,19.4,0.0,1.3,1.3,.060,-0.8,0.3,-0.5,0.4
8,5,Nickeil Alexander-Walker,SG,25,MIN,52,1197,9.6,.553,.662,.123,2.2,7.0,4.7,14.7,1.8,1.9,13.1,13.5,0.5,1.9,2.4,.097,-2.0,1.8,-0.1,0.6
9,6,Grayson Allen,SG,28,PHO,47,1546,13.5,.693,.620,.218,2.4,11.1,7.0,12.5,1.3,1.7,12.7,13.9,2.8,1.3,4.1,.128,0.9,-0.1,0.9,1.1
10,7,Jarrett Allen,C,25,CLE,46,1401,22.1,.673,.009,.374,13.2,25.0,19.3,13.4,1.3,3.4,13.4,18.9,3.9,2.8,6.6,.228,1.9,1.7,3.6,2.0
